Department ID,Title,Job Type,Area of Practice,Position,Salary,Hospital Name,City,State,URL,Description,Scraped At
R-110261,Neurologist,Full time,Specialty Care,Neurologist,"$120,000 to $300,000 (Yearly)",VCA Veterinary Referral & Emergency Center,Westbury,New York,https://www.vcacareers.com/global/en/job/R-110261/Neurologist,,"3/30/2026, 6:14:25 PM"
R-215928,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA River City Animal Hospital,Post Falls,Idaho,https://www.vcacareers.com/global/en/job/R-215928/Associate-Veterinarian,,"3/30/2026, 6:14:25 PM"
R-197401,Oncologist,Full time,Specialty Care,Medical,for this position is $250-$350k (Yearly),VCA West Los Angeles Animal Hospital,Los Angeles,California,https://www.vcacareers.com/global/en/job/R-197401/Oncologist,,"3/30/2026, 6:14:25 PM"
R-06038,Las Vegas/Reno Area Veterinarians- Relocation Available!,Full time,Veterinary Specialist,Las Vegas/Reno Area Veterinarians- Relocation Available!,N/A,VCA Lakeside Animal Hospital,Las Vegas,Nevada,https://www.vcacareers.com/global/en/job/R-06038/Las-Vegas-Reno-Area-Veterinarians-Relocation-Available!,,"3/30/2026, 6:14:32 PM"
R-210454,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Angel Animal Hospital,Flower Mound,Texas,https://www.vcacareers.com/global/en/job/R-210454/Associate-Veterinarian,,"3/30/2026, 6:14:32 PM"
R-199354,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Owasso Animal Medical Center,Owasso,Oklahoma,https://www.vcacareers.com/global/en/job/R-199354/Medical-Director,,"3/30/2026, 6:14:32 PM"
R-210169,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Tomball Veterinary Center,Tomball,Texas,https://www.vcacareers.com/global/en/job/R-210169/Associate-Veterinarian,,"3/30/2026, 6:14:32 PM"
R-209878,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Covington Animal Hospital,Covington,Washington,https://www.vcacareers.com/global/en/job/R-209878/Associate-Veterinarian,,"3/30/2026, 6:14:39 PM"
R-200164,Medical Director,Full time,General Practice Care,Medical Director at the VCA Park East and you’ll quickly discover that you’re well supported by worl,for this position is $175K - $200K (Yearly),"VCA, The Future Of Veterinary Medicine Is In Our Hands",New York,New York,https://www.vcacareers.com/global/en/job/R-200164/Medical-Director,,"3/30/2026, 6:14:39 PM"
R-212958,Associate Veterinarian,Full time,General Practice Care,associate veterinarian at VCA Irvine University Park and you’ll quickly discover that you’re well su,"$80,000 to $140,000 (Yearly)","VCA, The Future Of Veterinary Medicine Is In Our Hands",Irvine,California,https://www.vcacareers.com/global/en/job/R-212958/Associate-Veterinarian,,"3/30/2026, 6:14:39 PM"
R-216962,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$65,000 to $200,000 (Yearly)",VCA Kapolei Animal Hospital,Kapolei,Hawaii,https://www.vcacareers.com/global/en/job/R-216962/Associate-Veterinarian,,"3/30/2026, 6:14:39 PM"
R-205920,Radiologist,Full time,Specialty Care,Radiologist,for this position is $200-$300k (Yearly),VCA Emergency Animal Hospital & Referral Center,San Diego,California,https://www.vcacareers.com/global/en/job/R-205920/Radiologist,,"3/30/2026, 6:14:39 PM"
R-218557,Criticalist,Full time,Specialty Care,Criticalist,for this position is $150-$300k (Yearly),VCA West Los Angeles Animal Hospital,Los Angeles,California,https://www.vcacareers.com/global/en/job/R-218557/Criticalist,,"3/30/2026, 6:14:39 PM"
R-113080,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian at VCA Brown,for this position is $112K - $145K (Yearly),"VCA, The Future Of Veterinary Medicine Is In Our Hands",South Burlington,Vermont,https://www.vcacareers.com/global/en/job/R-113080/Associate-Veterinarian,,"3/30/2026, 6:14:39 PM"
R-210851,Surgeon,Part time,Specialty Care,Surgeon,"$275,000 - $300,000 (Yearly)",Katonah Bedford Veterinary Center,Bedford Hills,New York,https://www.vcacareers.com/global/en/job/R-210851/Surgeon,,"3/30/2026, 6:14:39 PM"
R-211398,Cardiologist,Full time,Specialty Care,Cardiologist,"$200,000 to $350,000 (Yearly)",VCA Animal Specialty And Emergency Center,Los Angeles,California,https://www.vcacareers.com/global/en/job/R-211398/Cardiologist,,"3/30/2026, 6:14:44 PM"
R-210964,Veterinarian / Rotating Internship 2025-2026,Full time,Veterinarian,Veterinarian / Rotating Internship 2025-2026,N/A,VCA Hollywood Animal Hospital,Hollywood,Florida,https://www.vcacareers.com/global/en/job/R-210964/Veterinarian-Rotating-Internship-2025-2026,,"3/30/2026, 6:14:44 PM"
R-196193,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Brentwood Animal Hospital,West Los Angeles,California,https://www.vcacareers.com/global/en/job/R-196193/Associate-Veterinarian,,"3/30/2026, 6:14:44 PM"
R-209177,Medical Director,Full time,General Practice Care,Medical Director,for this position is $160K - $180K (Yearly),VCA Iselin Animal Hospital,Iselin,New Jersey,https://www.vcacareers.com/global/en/job/R-209177/Medical-Director,,"3/30/2026, 6:14:44 PM"
R-221962,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Sandy Lake Animal Hospital,Coppell,Texas,https://www.vcacareers.com/global/en/job/R-221962/Medical-Director,,"3/30/2026, 6:14:44 PM"
R-145854,"Specialty Medical Director - Criticalist, IM",Full time,Specialty Care,Specialty Medical Director,Negotiable,VCA Animal Emergency Critical Care And Leesburg Veterinary,Leesburg,Virginia,https://www.vcacareers.com/global/en/job/R-145854/Specialty-Medical-Director-Criticalist-IM,,"3/30/2026, 6:14:44 PM"
R-172394,Associate Veterinarian,Full time,Veterinarian,Veterinarian,Negotiable,VCA Plainfield Animal Hospital,Plainfield,Connecticut,https://www.vcacareers.com/global/en/job/R-172394/Associate-Veterinarian,,"3/30/2026, 6:14:44 PM"
R-165745,Medical Director,Full time,General Practice Care,Medical Director,N/A,VCA Daniel Webster Animal Hospital,Bedford,New Hampshire,https://www.vcacareers.com/global/en/job/R-165745/Medical-Director,,"3/30/2026, 6:14:49 PM"
R-163613,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Northwest Veterinary Specialists,Clackamas,Oregon,https://www.vcacareers.com/global/en/job/R-163613/Medical-Director,,"3/30/2026, 6:14:49 PM"
